======================================================================
  PLAYLIST RECOMMENDER — BASELINE vs IMPROVED
======================================================================
  Baseline playlists: 59071
  Improved playlists: 59071
  Generated: 2026-02-27 14:19:43
──────────────────────────────────────────────────────────────────────
  Hyperparameters (Optuna-optimized)
    alpha (relevance):  0.4145
    beta  (diversity):  0.5727
    gamma (novelty):    0.0128
    objective formula:  NDCG@10 + 0.2 * intra_list_diversity
    objective value:    0.537832
    trials run:         100
    sample size:        1000 playlists
======================================================================

Metric                     Category        Baseline    Improved       Delta  Verdict
────────────────────────────────────────────────────────────────────────────────
  Precision@10             Relevance         0.1898      0.1666     -0.0232   ↓ ✗
  Recall@10                Relevance         0.0413      0.0360     -0.0052   ↓ ✗
  NDCG@10                  Relevance         0.3851      0.3697     -0.0154   ↓ ✗
  MRR@10                   Relevance         0.3436      0.3347     -0.0089   ↓ ✗
  R-Precision              Relevance         0.0529      0.0472     -0.0057   ↓ ✗
  HIT@10                   Relevance         0.1906      0.1674     -0.0233   ↓ ✗

  intra_list_diversity     Diversity         0.6051      0.8255     +0.2204   ↑ ✓

  avg_popularity           Novelty          55.3260     55.7353     +0.4093   ↑ ✗

  genre_diversity          Diversity        15.5664     17.2362     +1.6698   ↑ ✓

  catalog_coverage         Coverage          0.0062      0.0064     +0.0002   ↑ ✓

────────────────────────────────────────────────────────────────────────────────
  Note: Relevance metrics may decrease slightly — this is expected.
  The re-ranker trades a small relevance loss for significant
  diversity and novelty gains.
======================================================================

Per-cluster NDCG@10 comparison:
  Cluster      Baseline   Improved      Delta
  ────────────────────────────────────────
  2              0.4838     0.4897    +0.0059
  3              0.4343     0.4094    -0.0249
  5              0.7361     0.6740    -0.0621
  6              0.2800     0.2813    +0.0013
  7              0.2222     0.1883    -0.0339
  8              0.4911     0.4823    -0.0088
  9              0.3886     0.3838    -0.0048
  10             0.7269     0.6914    -0.0355
  11             0.4376     0.4264    -0.0111
  13             0.2625     0.2361    -0.0265
  14             0.7601     0.7485    -0.0116
  15             0.3219     0.3158    -0.0061
  17             0.2862     0.2781    -0.0081
  19             0.2572     0.2650    +0.0079
  21             0.3938     0.3773    -0.0165
  22             0.1826     0.1775    -0.0051
  23             0.5183     0.4806    -0.0377
  26             0.4536     0.4359    -0.0177
  27             0.2701     0.2634    -0.0067
  28             0.4382     0.4218    -0.0164
  29             0.4206     0.4131    -0.0075
  30             0.2394     0.2308    -0.0086
  32             0.4217     0.3915    -0.0302
  33             0.6107     0.5664    -0.0443
  34             0.1809     0.1602    -0.0208
  37             0.4786     0.4756    -0.0029
  41             0.7214     0.6809    -0.0405
  42             0.4303     0.4376    +0.0072
  43             0.3255     0.3149    -0.0106
  44             0.3446     0.3270    -0.0175
  48             0.3849     0.3728    -0.0121
  49             0.5505     0.5121    -0.0384
  50             0.3686     0.3527    -0.0159
  51             0.2692     0.2525    -0.0167
  52             0.2432     0.2215    -0.0216
  53             0.7522     0.7186    -0.0336
  54             0.5289     0.5078    -0.0211
  55             0.3733     0.3786    +0.0053
  56             0.5083     0.4782    -0.0302
  57             0.5995     0.5578    -0.0417
  58             0.4721     0.4531    -0.0191
  59             0.4544     0.4458    -0.0086
  60             0.9275     0.9190    -0.0085
  61             0.4432     0.4380    -0.0052
  64             0.3240     0.3082    -0.0158
  65             0.4038     0.3807    -0.0231
  66             0.3098     0.2883    -0.0214
  67             0.2123     0.2114    -0.0009
  68             0.3308     0.3160    -0.0148
  69             0.4597     0.4204    -0.0393
  71             0.3175     0.3012    -0.0163
  72             0.3799     0.3746    -0.0053
  73             0.4540     0.4653    +0.0113
  74             0.2031     0.1888    -0.0144
  75             0.2780     0.2868    +0.0088
  77             0.3932     0.3703    -0.0229
  78             0.4120     0.3868    -0.0252
  79             0.2218     0.2255    +0.0037
  80             0.1694     0.1663    -0.0030
  81             0.6747     0.6197    -0.0551
  82             0.3223     0.3043    -0.0180
  83             0.1396     0.1411    +0.0015
  85             0.2682     0.2552    -0.0130
  86             0.3353     0.3228    -0.0125
  87             0.3671     0.3552    -0.0119
  88             0.1476     0.1428    -0.0048
  90             0.6277     0.6025    -0.0252
  93             0.2556     0.2491    -0.0065
  94             0.2774     0.3279    +0.0506
  95             0.4207     0.4025    -0.0182
  96             0.1887     0.1935    +0.0048
  97             0.5243     0.5055    -0.0189
  98             0.4545     0.4487    -0.0058
  99             0.3804     0.3606    -0.0198
  101            0.0000     0.6574    +0.6574
  102            0.9748     0.9086    -0.0662
  103            0.2838     0.2702    -0.0136
  104            0.4589     0.4221    -0.0368
  105            0.1979     0.1965    -0.0014
  106            0.3012     0.2891    -0.0121
  107            0.6336     0.5655    -0.0681
  108            0.4940     0.4920    -0.0021
  110            0.3334     0.3241    -0.0093
  111            0.2407     0.2297    -0.0111
  112            0.4692     0.4482    -0.0210
  113            0.3027     0.2940    -0.0087
  114            0.8808     0.8221    -0.0587
  116            0.4893     0.4697    -0.0196
  117            0.2623     0.2728    +0.0105
  119            0.3961     0.3729    -0.0232
  121            0.3118     0.2914    -0.0204
  122            0.3965     0.3836    -0.0129
  123            0.3215     0.2702    -0.0512
  124            0.2067     0.1970    -0.0097
  125            0.0944     0.0592    -0.0352
  126            0.2067     0.2035    -0.0032
  127            0.7864     0.7595    -0.0269
  128            0.3622     0.3439    -0.0183
